Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e9734dcf784e932f153bd7346793d143b7f8ec9639df4e9a6a342996bfd826a5,2020-06,Durham Constabulary,Durham Constabulary,-1.681118,54.863867,On or near FONTEYN PLACE,E01020647,County Durham 008A,Local resolution
7a81d567a7929b11824dbdf7476ecf85064924437c3b510d7f59b9723160182b,2020-06,Durham Constabulary,Durham Constabulary,-1.641371,54.785196,On or near EAST SIDE AVENUE,E01020679,County Durham 026A,Unable to prosecute suspect
14b36009f7f899f5b1211f1a4f61900e81d43c73df37504bea4bd39454636632,2020-06,Durham Constabulary,Durham Constabulary,-1.554211,54.785671,On or near DEAN'S WALK,E01020692,County Durham 028E,Unable to prosecute suspect
8aebfd9b503cfe3938c49299eba5ab6fee13edd19651dacbef091a670dffef52,2020-06,Durham Constabulary,Durham Constabulary,-1.697724,54.705522,On or near DOVEDALE AVENUE,E01020902,County Durham 051E,Unable to prosecute suspect
e21f7eaa0bf158b4a95feee8ed4e1d3317cf240d1875ed732eaeb460f65be827,2020-06,Durham Constabulary,Durham Constabulary,-1.803827,54.863012,On or near TYNE AVENUE,E01020669,County Durham 012E,Unable to prosecute suspect
c1c54441e1cd4e183cf30f360f10a7edadaa72e23e25f092615b5483a7de6ab4,2020-06,Durham Constabulary,Durham Constabulary,-1.573608,54.854551,On or near FRONT STREET,E01020594,County Durham 013A,Suspect charged
c1c54441e1cd4e183cf30f360f10a7edadaa72e23e25f092615b5483a7de6ab4,2020-06,Durham Constabulary,Durham Constabulary,-1.573608,54.854551,On or near FRONT STREET,E01020594,County Durham 013A,Suspect charged
8f301e73210d889ddce6ad427d89c36132bb9e6e72f4540cb1db7d3caa2a98c0,2020-06,Durham Constabulary,Durham Constabulary,-1.573608,54.854551,On or near FRONT STREET,E01020594,County Durham 013A,Suspect charged
8f301e73210d889ddce6ad427d89c36132bb9e6e72f4540cb1db7d3caa2a98c0,2020-06,Durham Constabulary,Durham Constabulary,-1.573608,54.854551,On or near FRONT STREET,E01020594,County Durham 013A,Suspect charged
935bc9dfef3e0f020be812b6643a12add07c9688a00fc78f86c06a46981e5a29,2020-06,Durham Constabulary,Durham Constabulary,-1.573608,54.854551,On or near FRONT STREET,E01020594,County Durham 013A,Suspect charged
935bc9dfef3e0f020be812b6643a12add07c9688a00fc78f86c06a46981e5a29,2020-06,Durham Constabulary,Durham Constabulary,-1.573608,54.854551,On or near FRONT STREET,E01020594,County Durham 013A,Suspect charged
1c41909f3a3f50816f5267c5d8dde21941f0b0a60b34ca407e75ec3d97df1124,2020-06,Durham Constabulary,Durham Constabulary,-1.629819,54.873552,On or near LILAC GARDENS,E01020622,County Durham 002C,Unable to prosecute suspect
2470e28df5f042ed64e612bf6326c4a10d03654832010cb26dbb1bb9085941c9,2020-06,Durham Constabulary,Durham Constabulary,-1.652901,54.631441,On or near SALISBURY TERRACE,E01020801,County Durham 059A,Unable to prosecute suspect
240e71ecdf3fba9548c9fecd2517c4a4c191a6855274657215c87984c518c847,2020-06,Durham Constabulary,Durham Constabulary,-1.583013,54.530784,On or near YOREDALE AVENUE,E01012347,Darlington 011C,Investigation complete; no suspect identified
d55cdadb0ae306fdfee6b5c23a14627e994da0ce6e70fbf6e5699ef693abfe52,2020-06,Durham Constabulary,Durham Constabulary,-1.438789,54.765233,On or near BARNARD AVENUE,E01020729,County Durham 027D,Unable to prosecute suspect
798aa2ca49310f738a8d4899892e5ea3af067ee52e33a837566824e87ac2b28f,2020-06,Durham Constabulary,Durham Constabulary,-1.548958,54.544591,On or near DUBLIN STREET,E01012350,Darlington 004B,Unable to prosecute suspect
884bd577d1a968a794a1d19b0defb27c7545ac580b99f98c08deaa56763b2306,2020-06,Durham Constabulary,Durham Constabulary,-1.583013,54.530784,On or near YOREDALE AVENUE,E01012347,Darlington 011C,Investigation complete; no suspect identified
af3158fac5ac09bcced049e68c9866e372e92d4cef4db3b582689d9508644b57,2020-06,Durham Constabulary,Durham Constabulary,-1.543615,54.523299,On or near BRIDGE TERRACE,E01012304,Darlington 012A,Investigation complete; no suspect identified
a7b6f88976c87ba9a206ac72572a52634625d5456166e25e8ef97c3e273feb43,2020-06,Durham Constabulary,Durham Constabulary,-1.334925,54.766991,On or near BAILEY RISE,E01020759,County Durham 032E,Investigation complete; no suspect identified
f8f1cbb29a09a80fab09daff2b9595f7a3459553c30dc52334fd92e6ee2c39a6,2020-06,Durham Constabulary,Durham Constabulary,-1.354484,54.785106,On or near ROSEMARY LANE,E01020754,County Durham 025C,Unable to prosecute suspect
51e5d963b4a0a065fd5d681bab95dca48c24a8c9a2d13fd1dfd3b5d3c4bbdbb9,2020-06,Durham Constabulary,Durham Constabulary,-1.629819,54.873552,On or near LILAC GARDENS,E01020622,County Durham 002C,Unable to prosecute suspect
f75092f510718ffd7e2807343ff2e962d56b0e9772a5f04e9217105d988295de,2020-06,Durham Constabulary,Durham Constabulary,-1.653680,54.645481,On or near HIGH STREET,E01020880,County Durham 055D,Unable to prosecute suspect
9fa699d6fc6d6b49ab113ac6caea7c12392ecdd1178839cba1fedac9a52d8412,2020-06,Durham Constabulary,Durham Constabulary,-1.803827,54.863012,On or near TYNE AVENUE,E01020669,County Durham 012E,Unable to prosecute suspect
c2f42c9bec9ae2f7dd155c738c835ff704ea0afd9e84fb7ca40e8c832974bead,2020-06,Durham Constabulary,Durham Constabulary,-1.332925,54.791235,On or near HOLMHILL LANE,E01020751,County Durham 025A,Unable to prosecute suspect
bf027a5fc097ebecd8ef7fd0333bd2641d543c2ba17bb77859dd830397442724,2020-06,Durham Constabulary,Durham Constabulary,-1.594271,54.623396,On or near STAINMORE CRESCENT,E01020816,County Durham 061A,Unable to prosecute suspect
db679d1466fbc413cef377d2bacdf369ad1584eae31d095606a69dc6c8eb3154,2020-06,Durham Constabulary,Durham Constabulary,-1.552877,54.538180,On or near Supermarket,E01012349,Darlington 004A,Unable to prosecute suspect
195ba68112e7ea9f91ec0cad15e016a67422fffb351ab5c576d9c8863fd8e377,2020-06,Durham Constabulary,Durham Constabulary,-1.550253,54.537847,On or near GURNEY STREET,E01012349,Darlington 004A,Unable to prosecute suspect
0b33a79c50f9dcec02fa74f3ac9f7b8af5487c549b3b9e83abdc596371785427,2020-06,Durham Constabulary,Durham Constabulary,-1.420057,54.744817,On or near Supermarket,E01020790,County Durham 040C,Investigation complete; no suspect identified
587ddd6fe168a9334f972e9c81eb7611a16a37e8ed021f9d20c31b861415f5bf,2020-06,Durham Constabulary,Durham Constabulary,-1.673964,54.666853,On or near WEAR CHARE,E01020868,County Durham 055A,Investigation complete; no suspect identified
7c91c58715614703538c4aa17a19af2995c365126c517568b47d1b48744ef26d,2020-06,Durham Constabulary,Durham Constabulary,-1.566843,54.535840,On or near HAZEL AVENUE,E01012363,Darlington 007B,Unable to prosecute suspect
367f7b8450abdef4c4122a8faabced691dd475b17442bd17d2ea4ed9ad965dd3,2020-06,Durham Constabulary,Durham Constabulary,-1.554509,54.686307,On or near ULLSWATER ROAD,E01020806,County Durham 049A,Unable to prosecute suspect
1796fd81ab614919f0975f40c56345a958b43f251be82c6e4d78f79eeb7a8b12,2020-06,Durham Constabulary,Durham Constabulary,-1.554807,54.683136,On or near SOUTH SIDE (DEAN ROAD),E01020806,County Durham 049A,Unable to prosecute suspect
acbda3d706d6bca186ec90c547727d5942c7e27f45c8d5544e9ddca4f00eadfa,2020-06,Durham Constabulary,Durham Constabulary,-1.554807,54.683136,On or near SOUTH SIDE (DEAN ROAD),E01020806,County Durham 049A,Unable to prosecute suspect
84edb6a3e0b2af3751840063d82e4a5043ab29f73abdc087e9e25556b150ca7b,2020-06,Durham Constabulary,Durham Constabulary,-1.541719,54.533960,On or near LUCKNOW STREET,E01012307,Darlington 009A,Further action is not in the public interest
ff23d4ea3eeb289b1b28a148edf84dffd29de47d38c7abfbac725f73b8737ec9,2020-06,Durham Constabulary,Durham Constabulary,-1.743333,54.806438,On or near BARGATE BANK,E01020664,County Durham 020B,Investigation complete; no suspect identified
52822aef222b60779fd809a857eaf5e6fa250a9ec97ca1d56a40df57c0d31271,2020-06,Durham Constabulary,Durham Constabulary,-1.581581,54.794423,On or near GHYLL FIELD ROAD,E01020711,County Durham 023C,Local resolution
a36bbb09c9ac23adbe58674223725c6069e50945ad4e54152ee62a619cd25439,2020-06,Durham Constabulary,Durham Constabulary,-1.581581,54.794423,On or near GHYLL FIELD ROAD,E01020711,County Durham 023C,Local resolution
622bf559927283836611ceef0dbd3241eb5017df0bd7d2a5debb3f12ebacf152,2020-06,Durham Constabulary,Durham Constabulary,-1.709127,54.664795,On or near ST JOHN'S WALK,E01020882,County Durham 057A,Local resolution
3e574a9418c303f7f6f33f4cca6b7ae3381b207204a0fe180a3a13968d45a58b,2020-06,Durham Constabulary,Durham Constabulary,-1.915413,54.545078,On or near ZETLAND ROAD,E01020852,County Durham 066A,Unable to prosecute suspect
9705f786ba531afc79b91411d45d5aa87c80eca730422bd8a463cd4be5c1fb7a,2020-06,Durham Constabulary,Durham Constabulary,-1.438789,54.765233,On or near BARNARD AVENUE,E01020729,County Durham 027D,Investigation complete; no suspect identified
465ae5c6dcb7d0ccc5e78231cabdbc36e484c3f09bd421881b6eff0f1f6e2dfa,2020-06,Durham Constabulary,Durham Constabulary,-1.578946,54.854947,On or near STATION ROAD,E01020593,County Durham 011B,Investigation complete; no suspect identified
5e9e2f0b351ff856ea3c43a906340b7ff54c0e440075eeaef9153a0298d4c955,2020-06,Durham Constabulary,Durham Constabulary,-1.553015,54.519874,On or near BEDFORD STREET,E01012356,Darlington 014A,Unable to prosecute suspect
8d77c5e7f0ee93b0056b3e07403ad2104263af91b137bbcb0a0c4a21a0d632a6,2020-06,Durham Constabulary,Durham Constabulary,-1.690352,54.709628,On or near Supermarket,E01020901,County Durham 051D,Investigation complete; no suspect identified
c3167a2727c1e7e356b7b832041e5c50c648ed499017f32e6a021d147a084594,2020-06,Durham Constabulary,Durham Constabulary,-1.678565,54.855790,On or near OAK TERRACE,E01020648,County Durham 008B,Unable to prosecute suspect
17c2175fb84e4c1e0c77c94e48c4105a8eb768970a2d134c6d970c4fc83a6ced,2020-06,Durham Constabulary,Durham Constabulary,-1.351225,54.752656,On or near VAN MILDERT CLOSE,E01020770,County Durham 035D,Unable to prosecute suspect
c4683af6c91c0e3bfef847f4d928746a1ec2f1bb5cdf210ac94da72ef2163129,2020-06,Durham Constabulary,Durham Constabulary,-1.692732,54.643186,On or near SNOWDON CRESCENT,E01020909,County Durham 058E,Suspect charged
c4683af6c91c0e3bfef847f4d928746a1ec2f1bb5cdf210ac94da72ef2163129,2020-06,Durham Constabulary,Durham Constabulary,-1.692732,54.643186,On or near SNOWDON CRESCENT,E01020909,County Durham 058E,Suspect charged
854aa6a4166c3aa3038c86c1f80231a28d9a5d0bf7c2dc9308e2ea2240057244,2020-06,Durham Constabulary,Durham Constabulary,-1.651201,54.645501,On or near OXFORD STREET,E01020880,County Durham 055D,Unable to prosecute suspect
5aacdd9e39ad5d6711f015cceaddfbbd49d4b354167486e7d5167a26da68bae9,2020-06,Durham Constabulary,Durham Constabulary,-1.502455,54.812852,On or near RAINTON VIEW,E01020727,County Durham 027C,Further action is not in the public interest
b12c5e187124619202c96bd1213027071333bd46734c6d918277d4cecc0208a6,2020-06,Durham Constabulary,Durham Constabulary,-1.724795,54.860460,On or near SABIN COURT,E01020624,County Durham 009A,Investigation complete; no suspect identified
4f7f960e13ff9bca7dc837c6543df5d5ff7c757b640e26d921b7859c466fb669,2020-06,Durham Constabulary,Durham Constabulary,-1.335828,54.828555,On or near SHREWSBURY STREET,E01020742,County Durham 017C,Unable to prosecute suspect
4622f02ead03b58b29692230541eacdae481616f086a3e5a388138677fbdaaa1,2020-06,Durham Constabulary,Durham Constabulary,-1.642775,54.646833,On or near HESLOP STREET,E01020880,County Durham 055D,Unable to prosecute suspect
762c3855b86c4542805b87f09b331546ba9fb0a9ff5ccc3489dc1e1b44d3b251,2020-06,Durham Constabulary,Durham Constabulary,-1.560661,54.688307,On or near NEWTON STREET,E01020807,County Durham 049B,Unable to prosecute suspect
37b422fc71fa772104516e98296469ae7ab66bd1639a23cb1c942a646ee71b8d,2020-06,Durham Constabulary,Durham Constabulary,-1.705276,54.868924,On or near BRACKEN CLOSE,E01020661,County Durham 004A,Unable to prosecute suspect
40229cb3b72f2e0e49ef0c4d7d9f2a65d8ea9955231779518626af293618a74d,2020-06,Durham Constabulary,Durham Constabulary,-1.349821,54.763693,On or near WOODMANSEY CLOSE,E01020733,County Durham 035A,Unable to prosecute suspect
24dd09962d0e9b528b2756d884271539b109044859707440791239424cf4b069,2020-06,Durham Constabulary,Durham Constabulary,-1.712924,54.882539,On or near NORTH LEIGH,E01020676,County Durham 001E,Further investigation is not in the public interest
6fda93353ac5db33a2f8aeb66cef762c1a71afab0e8aca2038368c55f8275424,2020-06,Durham Constabulary,Durham Constabulary,-1.632650,54.822680,On or near ACORN CLOSE,E01020620,County Durham 019D,Unable to prosecute suspect
6a51d94ce3bc3059ca013a47be9f4565e4a111445d6b194751ce689f0da1e37f,2020-06,Durham Constabulary,Durham Constabulary,-1.604620,54.856111,On or near SHELLEY GARDENS,E01020618,County Durham 011F,Investigation complete; no suspect identified
a0f9af1e04a16ab0dc59165acc1e4a7d9506356ee8dc97f0d9df4bb5b83d25d5,2020-06,Durham Constabulary,Durham Constabulary,-1.635355,54.873165,On or near ARTHUR STREET,E01020622,County Durham 002C,Local resolution
4a23555385a6d981e5a8e598c6dfd9a873bc5e5ca2493788a94f7c0fab82e8f0,2020-06,Durham Constabulary,Durham Constabulary,-1.633943,54.627665,On or near HILSDON DRIVE,E01020840,County Durham 059E,Unable to prosecute suspect
c5411f7597a27d5a2cd25379814c278022e0507d59f03318b9718ad8f9473277,2020-06,Durham Constabulary,Durham Constabulary,-1.708271,54.771221,On or near ARBOURCOURT AVENUE,E01020705,County Durham 031A,Investigation complete; no suspect identified
add0c35242b5755c4f876f2becc6b14ead4c18913028d08c05ffd672e0c7b4b4,2020-06,Durham Constabulary,Durham Constabulary,-1.553970,54.688785,On or near CHURCH LANE,E01020808,County Durham 050D,Unable to prosecute suspect
acc427414d86ea36f8122af7c600380afee27cedfcddf879084d9ce6161d659f,2020-06,Durham Constabulary,Durham Constabulary,-1.322758,54.788222,On or near B1283,E01020752,County Durham 025B,Unable to prosecute suspect
695677ccc6b9b11dc13a90ee0fd6ac7af6a0fc9864c9b73af74911329952d55e,2020-06,Durham Constabulary,Durham Constabulary,-1.604445,54.698630,On or near DICKENS STREET,E01020836,County Durham 052E,Offender given penalty notice
a69beb6c94e5e6e56cc11ad792b5f3a3527df328ffda1f6c633ed97fbf1dd88f,2020-06,Durham Constabulary,Durham Constabulary,-1.633323,54.660438,On or near Police Station,E01020874,County Durham 055C,Unable to prosecute suspect
3c8c5cc11329b907b79c60a3aa51464e9916b78031feaddac1338bcb4c97ac36,2020-06,Durham Constabulary,Durham Constabulary,-1.825291,54.853160,On or near MEADOW RISE,E01020640,County Durham 010B,Unable to prosecute suspect
0c6600776cb4a121ab7df7fc67c533881b1f1bae21488a234b6e300fb8219d6a,2020-06,Durham Constabulary,Durham Constabulary,-1.554807,54.683136,On or near SOUTH SIDE (DEAN ROAD),E01020806,County Durham 049A,Unable to prosecute suspect
193945da202f1da84045960db9d242b27d8d74afc93fe4627d099abbc26a52fb,2020-06,Durham Constabulary,Durham Constabulary,-1.572308,54.610262,On or near LEASIDE NORTH,E01020826,County Durham 063B,Unable to prosecute suspect
cc71b4ed55d19cdfff01cbf25c12aca1ea561d37ad40191e4fa6c160a1c653c3,2020-06,Durham Constabulary,Durham Constabulary,-1.313326,54.762054,On or near SIXTH STREET,E01020767,County Durham 036C,Unable to prosecute suspect
f8c3d91b8bb19e0a47495b71f1b8bcd5aea9fdfbed0bb62efdc78d1b0fae0f42,2020-06,Durham Constabulary,Durham Constabulary,-1.431079,54.695416,On or near MEADOW ROAD,E01020809,County Durham 048A,Unable to prosecute suspect
7811d11620b3eaf2e47ba8ea1c3407dd38f3ca0c8588bc6cb9694a63513fa738,2020-06,Durham Constabulary,Durham Constabulary,-1.850717,54.863870,On or near PRINCESS AVENUE,E01020629,County Durham 003C,Unable to prosecute suspect
a3524cf9c4f545c8b6119aa46107ac8e2cffecb8d235e77f7511859865028e6c,2020-06,Durham Constabulary,Durham Constabulary,-1.509117,54.697042,On or near GARMONDSWAY ROAD,E01020797,County Durham 050A,Unable to prosecute suspect
f3b31a6cf030b61951b7e8295eb5bd21a6ed8a0dcf68673908b1e27f3f32ee00,2020-06,Durham Constabulary,Durham Constabulary,-1.576271,54.628268,On or near KINGS DRIVE,E01020849,County Durham 061D,Local resolution
aa535b32e787801656b58b53325be07d9e14199f678b75868afae2d3996f977a,2020-06,Durham Constabulary,Durham Constabulary,-1.332925,54.791235,On or near HOLMHILL LANE,E01020751,County Durham 025A,Suspect charged
03bc8abad8ef64cd148503312f44588cd929b2687120e8cc20d1915a97c52c26,2020-06,Durham Constabulary,Durham Constabulary,-1.560880,54.534120,On or near SURTEES STREET,E01012353,Darlington 008B,Suspect charged
b27f3a9ef21814d3bb20e22692d426ee742e3fee4d43469c73e2ca5684dcfdae,2020-06,Durham Constabulary,Durham Constabulary,-1.316834,54.762334,On or near WARREN STREET,E01020764,County Durham 036A,Unable to prosecute suspect
35236c5a8fd2bbcb0bf2c8419d498b5e44d1b00a9abef156e3cdf98de1999f3b,2020-06,Durham Constabulary,Durham Constabulary,-1.696581,54.860707,On or near HUSTLEDOWN GARDENS,E01020648,County Durham 008B,Unable to prosecute suspect
9d77edb6f6188781250b779f8489fe46774f8061babae21bd43daefc1a15d987,2020-06,Durham Constabulary,Durham Constabulary,-1.704457,54.865894,On or near WESTFIELDS,E01020670,County Durham 009C,Unable to prosecute suspect
4eddbbcdb0e5fdfe0cc4add8aeeaf0edada401e6b00c4417a45fc9ad7de501f2,2020-06,Durham Constabulary,Durham Constabulary,-1.317398,54.763919,On or near SOUTH TERRACE,E01020764,County Durham 036A,Unable to prosecute suspect
622e125ecfe7b2e92a43d9765048ea4fc342b504f337322a832c7c327dfa0848,2020-06,Durham Constabulary,Durham Constabulary,-1.548843,54.545211,On or near PEABODY STREET,E01012350,Darlington 004B,Investigation complete; no suspect identified
0b6c1f7fe89491590787aa34dc54d632e0b549487d7c9a13669d5bc74ef126d0,2020-06,Durham Constabulary,Durham Constabulary,-1.543358,54.553261,On or near BIRCH ROAD,E01032545,Darlington 002E,Suspect charged
7e7e30b4c8122f41e23bca4cee8aaba8c1f897d172d49454030b97ab75ff6b19,2020-06,Durham Constabulary,Durham Constabulary,-1.322758,54.788222,On or near B1283,E01020752,County Durham 025B,Unable to prosecute suspect
d71dc319e8eeeab2a529982d6bba10762e9209a1f85152b7fe18c4eb5fd3aed9,2020-06,Durham Constabulary,Durham Constabulary,-1.690732,54.641240,On or near DILKS STREET,E01020907,County Durham 058C,Suspect charged
699d5874a232f21c67195db68c84529455c2219a0c3f94c649b07d27f5337f82,2020-06,Durham Constabulary,Durham Constabulary,-1.324003,54.773248,On or near THORPE ROAD,E01020765,County Durham 032F,Unable to prosecute suspect
0d1512f61511cd16fd1322933c3a4aa270e077deec73e527b3bc820fe1352f92,2020-06,Durham Constabulary,Durham Constabulary,-1.687971,54.868135,On or near BROOKE CLOSE,E01020675,County Durham 008E,Investigation complete; no suspect identified
29548fafb325464a48c7d99f08019d176a5915a9410b11496dc6875258f1cb6d,2020-06,Durham Constabulary,Durham Constabulary,-1.556101,54.804775,On or near Prison,E01020709,County Durham 022A,Action to be taken by another organisation
48dcc8d5655006f25b1d14f16abd85fbb2c0fced2fb64ade327bd5d9cc369090,2020-06,Durham Constabulary,Durham Constabulary,-1.556101,54.804775,On or near Prison,E01020709,County Durham 022A,Action to be taken by another organisation
0514e80aef5d71c7157d3c415576f9eb7e4f8a364addb3df1e374825532bc04d,2020-06,Durham Constabulary,Durham Constabulary,-1.590844,54.849011,On or near SIDLAW AVENUE,E01020599,County Durham 011C,Local resolution
8a685951fa1c0a6b0ed8788475ef394535a238e412832a839f9bb4b54a1a779d,2020-06,Durham Constabulary,Durham Constabulary,-1.349379,54.751504,On or near WAVENEY ROAD,E01020777,County Durham 037C,Unable to prosecute suspect
a99c7a8541e08e3211a45c753e7350c0a7771073e4927e7a9426e6e1eeaec113,2020-06,Durham Constabulary,Durham Constabulary,-1.337925,54.838335,On or near CASTLEREAGH ROAD,E01020784,County Durham 017F,Offender given a caution
da2dfc2e6836df16c1a425df0281ba2b598cf13da97042138c094cb6c55c7029,2020-06,Durham Constabulary,Durham Constabulary,-1.536764,54.523956,On or near DINSDALE CRESCENT,E01012342,Darlington 009C,Unable to prosecute suspect
9d54508042bcb4062ccd462de38e8ebcd8c5e4a3b1da1889352304bf000b86ad,2020-06,Durham Constabulary,Durham Constabulary,-1.838657,54.860287,On or near BUCKHAM STREET,E01020642,County Durham 010D,Investigation complete; no suspect identified
cd9f4e9439576541d8c31d3643f6ed2dd8c7a9d14caa37b5e0c401fae1c57b4c,2020-06,Durham Constabulary,Durham Constabulary,-1.609051,54.977774,On or near COLLEGE LANE,E01008397,Newcastle upon Tyne 024C,Unable to prosecute suspect
ae4aea1296dce49b0a9eedc5b0352220eb88fe63d1d919eca150f7c8dd7e4946,2020-06,Durham Constabulary,Durham Constabulary,-1.609051,54.977774,On or near COLLEGE LANE,E01008397,Newcastle upon Tyne 024C,Unable to prosecute suspect
d0c203038734c57766be10546e9f03e4e0f8d8a2c4f0e0100ab9b347a5d53f73,2020-06,Durham Constabulary,Durham Constabulary,-1.573739,54.628906,On or near AGNEW WAY,E01020848,County Durham 060D,Unable to prosecute suspect
c34e33103cc36048bbcbf2fba2c085f3e50edcbb8e30107a8316249a5dbcd288,2020-06,Durham Constabulary,Durham Constabulary,-1.573739,54.628906,On or near AGNEW WAY,E01020848,County Durham 060D,Local resolution
5dbedf346d7c23a310b4af8007152fc9a2d5b0ad22091a541f20cd6f7f5083cc,2020-06,Durham Constabulary,Durham Constabulary,-1.273600,54.740569,On or near THE SIDINGS,E01020736,County Durham 039A,Investigation complete; no suspect identified
171b9ac456396647c54a2c0c42c6e5fa4fc1989d4fc6387db8440130dc1ebba1,2020-06,Durham Constabulary,Durham Constabulary,-1.291521,54.748763,On or near MIDDLE STREET,E01020739,County Durham 039D,Local resolution
c85539f970eb19b7ccb3ecd78d4f85c75b1e17e3776a9fc0b349e8828514649a,2020-06,Durham Constabulary,Durham Constabulary,-1.366843,54.835074,On or near WESTLEA ROAD,E01020748,County Durham 018C,Investigation complete; no suspect identified
fdd20238f7509252267a795b3cf0318749f0c5a337e24b7375d8af5aece4374e,2020-06,Durham Constabulary,Durham Constabulary,-1.696581,54.860707,On or near HUSTLEDOWN GARDENS,E01020648,County Durham 008B,Unable to prosecute suspect
3d129b46beb61565ea777bcf8da33c492af06b9313e5257a8513a881845bbe07,2020-06,Durham Constabulary,Durham Constabulary,-1.688429,54.879450,On or near Petrol Station,E01020663,County Durham 004C,Investigation complete; no suspect identified
e015bc7dc03964efb3ef4e0c9739589a26073148c0103c14b2906ed3d369a677,2020-06,Durham Constabulary,Durham Constabulary,-1.582161,54.543165,On or near RAINHILL WAY,E01033481,Darlington 001E,Unable to prosecute suspect
2689f408db75ae0507b7718733084e6171846383291b2b35e95cb3a725725773,2020-06,Durham Constabulary,Durham Constabulary,-1.592191,54.537097,On or near FINCHALE CRESCENT,E01012313,Darlington 006E,Unable to prosecute suspect
f225ec007cc4659f468aa0ee79e6c1574350091a2a317c36be15de1bdbd10dd6,2020-06,Durham Constabulary,Durham Constabulary,-1.558799,54.546515,On or near PERCY ROAD,E01012323,Darlington 002C,Suspect charged
6b67cdd6e2380a99369c6ea29cd6f6b41349b0a3757dab2591bfc8db54babeb3,2020-06,Durham Constabulary,Durham Constabulary,-1.549350,54.659130,On or near ARTHUR STREET,E01020803,County Durham 053B,Local resolution
4e77aac90d9cb4dc7cda24624206741e7f3fa18df42cca68c589bb3ff00f301b,2020-06,Durham Constabulary,Durham Constabulary,-1.634565,54.872623,On or near POPLAR STREET,E01020622,County Durham 002C,Unable to prosecute suspect
f449bb694706ad10ba5b3bf11d751ed9ab6cfa56874213813af245aef68a23cb,2020-06,Durham Constabulary,Durham Constabulary,-1.551493,54.520633,On or near GEORGE STREET,E01012356,Darlington 014A,Local resolution
a520e2d4bca93c5cabe5f202b469ee16171c0f8b8bbc3efcaf3b639a42d43b45,2020-06,Durham Constabulary,Durham Constabulary,-1.730912,54.856600,On or near SHIELDROW LANE,E01020624,County Durham 009A,Local resolution
220e0a104c9e6878b7483007d8c3990aaba4f322f809d26e105db74ed2cc222d,2020-06,Durham Constabulary,Durham Constabulary,-1.703023,54.704546,On or near SAXBY DRIVE,E01020902,County Durham 051E,Unable to prosecute suspect
9efdf4871a048f17304d42c831dc0f6a95b8382f6cb5bd3b51bd53d19b2dee9f,2020-06,Durham Constabulary,Durham Constabulary,-1.622495,54.688065,On or near ALBION STREET,E01020821,County Durham 052A,Suspect charged
5f9deefc2385ad626bfbb3d7c7da62d05c7bc99d38df0e6f10854a27a4708ca4,2020-06,Durham Constabulary,Durham Constabulary,-1.622495,54.688065,On or near ALBION STREET,E01020821,County Durham 052A,Suspect charged
b633a9eb3d377045166f7b9d9a7beb53cb7cd703d8e6c214c964fe7064f5312b,2020-06,Durham Constabulary,Durham Constabulary,-1.622495,54.688065,On or near ALBION STREET,E01020821,County Durham 052A,Suspect charged
d6f89983a75926af968ca8df5ce5ebc21611e5b1df753ee7a9cf2362b0cef1d5,2020-06,Durham Constabulary,Durham Constabulary,-1.622495,54.688065,On or near ALBION STREET,E01020821,County Durham 052A,Suspect charged
3de5d1e78ea7e03e7fd3dec0f8cc2958051a8be09b2314df951e76531a40cee5,2020-06,Durham Constabulary,Durham Constabulary,-1.611271,54.857714,On or near VALLEY ROAD,E01020618,County Durham 011F,Unable to prosecute suspect
ee6f76ea560cdc4a0716abea28fb439b712d3c4e40aca4b0066b8e4d4d2d2bc1,2020-06,Durham Constabulary,Durham Constabulary,-1.535366,54.530071,On or near ARNOLD ROAD,E01012342,Darlington 009C,Investigation complete; no suspect identified
4a6096f316f29cdb348d0d21bfa5078a869f4385d5533ecc49d49fc4ef711e40,2020-06,Durham Constabulary,Durham Constabulary,-1.687850,54.710062,On or near BAINBRIDGE AVENUE,E01020900,County Durham 051C,Local resolution
dc641a9fc59ab04dc32bae04da4b445f96a2c2f157771a05ef3087351c8e8c12,2020-06,Durham Constabulary,Durham Constabulary,-1.633509,54.775898,On or near PINE PARK,E01020716,County Durham 026E,Unable to prosecute suspect
7f3b99a12c36f46c272648fff9213bda30432fa9f889f30a044b6014be87888c,2020-06,Durham Constabulary,Durham Constabulary,-1.566085,54.687329,On or near FARADAY STREET,E01020807,County Durham 049B,Unable to prosecute suspect
9aa16d57c8af18758f17f824bd4044cebee6f78ec237580393d3d28f01b57bdc,2020-06,Durham Constabulary,Durham Constabulary,-1.575076,54.857153,On or near Shopping Area,E01020593,County Durham 011B,Unable to prosecute suspect
7ce781f707c286db6e8e27e4d1b767aca0beb26ed775b237c9e12644854cc375,2020-06,Durham Constabulary,Durham Constabulary,-1.628004,54.826925,On or near DALESIDE,E01020607,County Durham 019B,Unable to prosecute suspect
dc347b9d02ad75f5c684e88309de44846d5e40fda7422214add28df7ba65d5d9,2020-06,Durham Constabulary,Durham Constabulary,-1.562195,54.538313,On or near SILDALE CLOSE,E01012309,Darlington 006A,Offender given a caution
